,Date,AQI,Sample_Duration,Pollutant_Type
398,1987-10-28,14,24 HOUR,81102
399,1987-10-30,22,24 HOUR,81102
400,1987-11-01,14,24 HOUR,81102
401,1987-11-03,19,24 HOUR,81102
402,1987-11-05,15,24 HOUR,81102
403,1987-11-07,28,24 HOUR,81102
404,1987-11-09,15,24 HOUR,81102
405,1987-11-11,16,24 HOUR,81102
406,1987-11-13,11,24 HOUR,81102
407,1987-11-15,19,24 HOUR,81102
408,1987-11-17,14,24 HOUR,81102
409,1987-11-19,29,24 HOUR,81102
410,1987-11-21,13,24 HOUR,81102
411,1987-11-23,22,24 HOUR,81102
412,1987-11-25,13,24 HOUR,81102
413,1987-11-27,18,24 HOUR,81102
414,1987-11-29,7,24 HOUR,81102
415,1987-12-01,29,24 HOUR,81102
416,1987-12-03,19,24 HOUR,81102
417,1987-12-05,24,24 HOUR,81102
418,1987-12-07,12,24 HOUR,81102
419,1987-12-09,39,24 HOUR,81102
420,1987-12-11,16,24 HOUR,81102
421,1987-12-13,53,24 HOUR,81102
422,1987-12-17,7,24 HOUR,81102
423,1987-12-19,5,24 HOUR,81102
424,1987-12-21,8,24 HOUR,81102
425,1987-12-23,6,24 HOUR,81102
426,1987-12-25,11,24 HOUR,81102
427,1987-12-27,12,24 HOUR,81102
428,1987-12-29,8,24 HOUR,81102
429,1987-12-31,7,24 HOUR,81102
430,1988-01-04,13,24 HOUR,81102
431,1988-01-08,6,24 HOUR,81102
432,1988-01-10,16,24 HOUR,81102
433,1988-01-12,19,24 HOUR,81102
434,1988-01-14,19,24 HOUR,81102
435,1988-01-16,25,24 HOUR,81102
436,1988-01-18,38,24 HOUR,81102
437,1988-01-20,19,24 HOUR,81102
438,1988-01-22,14,24 HOUR,81102
439,1988-01-24,17,24 HOUR,81102
440,1988-01-26,18,24 HOUR,81102
441,1988-01-28,24,24 HOUR,81102
442,1988-01-30,15,24 HOUR,81102
443,1988-02-03,12,24 HOUR,81102
444,1988-02-09,51,24 HOUR,81102
445,1988-02-11,21,24 HOUR,81102
446,1988-02-13,77,24 HOUR,81102
447,1988-02-15,29,24 HOUR,81102
448,1988-02-17,43,24 HOUR,81102
449,1988-02-19,17,24 HOUR,81102
450,1988-02-21,14,24 HOUR,81102
451,1988-02-23,17,24 HOUR,81102
452,1988-02-25,26,24 HOUR,81102
453,1988-02-27,19,24 HOUR,81102
454,1988-02-29,33,24 HOUR,81102
455,1988-03-02,63,24 HOUR,81102
456,1988-03-04,14,24 HOUR,81102
457,1988-03-06,16,24 HOUR,81102
458,1988-03-08,20,24 HOUR,81102
459,1988-03-10,39,24 HOUR,81102
460,1988-03-12,31,24 HOUR,81102
461,1988-03-14,19,24 HOUR,81102
462,1988-03-18,21,24 HOUR,81102
463,1988-03-20,19,24 HOUR,81102
464,1988-03-22,29,24 HOUR,81102
465,1988-03-24,44,24 HOUR,81102
466,1988-03-26,19,24 HOUR,81102
467,1988-03-28,51,24 HOUR,81102
468,1988-03-30,20,24 HOUR,81102
469,1988-04-01,15,24 HOUR,81102
470,1988-04-03,19,24 HOUR,81102
471,1988-04-05,56,24 HOUR,81102
472,1988-04-07,25,24 HOUR,81102
473,1988-04-09,27,24 HOUR,81102
474,1988-04-11,19,24 HOUR,81102
475,1988-04-15,31,24 HOUR,81102
476,1988-04-17,39,24 HOUR,81102
477,1988-04-19,22,24 HOUR,81102
478,1988-04-21,49,24 HOUR,81102
479,1988-04-23,20,24 HOUR,81102
480,1988-04-25,24,24 HOUR,81102
481,1988-04-27,25,24 HOUR,81102
482,1988-04-29,33,24 HOUR,81102
483,1988-05-01,28,24 HOUR,81102
484,1988-05-03,48,24 HOUR,81102
485,1988-05-05,40,24 HOUR,81102
486,1988-05-07,26,24 HOUR,81102
487,1988-05-09,24,24 HOUR,81102
488,1988-05-11,12,24 HOUR,81102
489,1988-05-13,18,24 HOUR,81102
490,1988-05-15,32,24 HOUR,81102
491,1988-05-17,5,24 HOUR,81102
492,1988-05-19,12,24 HOUR,81102
493,1988-05-31,21,24 HOUR,81102
494,1988-06-02,24,24 HOUR,81102
495,1988-06-06,32,24 HOUR,81102
496,1988-06-10,39,24 HOUR,81102
497,1988-06-14,27,24 HOUR,81102
498,1988-06-16,18,24 HOUR,81102
499,1988-06-18,24,24 HOUR,81102
500,1988-06-22,23,24 HOUR,81102
501,1988-06-26,14,24 HOUR,81102
502,1988-06-30,31,24 HOUR,81102
503,1988-07-02,10,24 HOUR,81102
504,1988-07-08,14,24 HOUR,81102
505,1988-07-14,33,24 HOUR,81102
506,1988-07-20,8,24 HOUR,81102
507,1988-07-26,36,24 HOUR,81102
508,1988-08-01,32,24 HOUR,81102
509,1988-08-07,28,24 HOUR,81102
510,1988-08-13,18,24 HOUR,81102
511,1988-08-19,22,24 HOUR,81102
512,1988-08-25,25,24 HOUR,81102
513,1988-08-31,38,24 HOUR,81102
514,1988-09-06,21,24 HOUR,81102
515,1988-09-18,6,24 HOUR,81102
516,1988-09-24,11,24 HOUR,81102
517,1988-09-30,11,24 HOUR,81102
518,1988-10-06,15,24 HOUR,81102
519,1988-10-12,18,24 HOUR,81102
520,1988-10-18,17,24 HOUR,81102
521,1988-10-24,21,24 HOUR,81102
522,1988-11-05,18,24 HOUR,81102
523,1988-11-11,12,24 HOUR,81102
524,1988-11-17,15,24 HOUR,81102
525,1988-11-23,12,24 HOUR,81102
526,1988-11-29,21,24 HOUR,81102
527,1988-12-05,20,24 HOUR,81102
528,1988-12-11,8,24 HOUR,81102
529,1988-12-17,24,24 HOUR,81102
530,1988-12-23,25,24 HOUR,81102
531,1988-12-29,25,24 HOUR,81102
532,1989-01-04,12,24 HOUR,81102
533,1989-01-10,15,24 HOUR,81102
534,1989-01-16,20,24 HOUR,81102
535,1989-01-22,14,24 HOUR,81102
536,1989-01-28,10,24 HOUR,81102
537,1989-02-03,19,24 HOUR,81102
538,1989-02-09,16,24 HOUR,81102
539,1989-02-15,8,24 HOUR,81102
540,1989-02-21,16,24 HOUR,81102
541,1989-02-27,18,24 HOUR,81102
542,1989-03-05,19,24 HOUR,81102
543,1989-03-11,15,24 HOUR,81102
544,1989-03-17,45,24 HOUR,81102
545,1989-03-23,10,24 HOUR,81102
546,1989-03-29,13,24 HOUR,81102
547,1989-04-04,28,24 HOUR,81102
548,1989-04-10,30,24 HOUR,81102
549,1989-04-16,23,24 HOUR,81102
550,1989-04-22,34,24 HOUR,81102
551,1989-04-28,27,24 HOUR,81102
552,1989-05-04,69,24 HOUR,81102
553,1989-05-10,26,24 HOUR,81102
554,1989-05-16,39,24 HOUR,81102
555,1989-05-22,45,24 HOUR,81102
556,1989-05-28,56,24 HOUR,81102
557,1989-06-09,19,24 HOUR,81102
558,1989-06-15,16,24 HOUR,81102
559,1989-06-21,51,24 HOUR,81102
560,1989-06-27,21,24 HOUR,81102
561,1989-07-03,29,24 HOUR,81102
562,1989-07-21,23,24 HOUR,81102
563,1989-07-27,15,24 HOUR,81102
564,1989-08-02,28,24 HOUR,81102
565,1989-08-08,18,24 HOUR,81102
566,1989-08-14,31,24 HOUR,81102
567,1989-09-01,17,24 HOUR,81102
568,1989-09-07,20,24 HOUR,81102
569,1989-10-13,26,24 HOUR,81102
